# ModLoader - 87 injectable menus
# Format: Display Name | Script Name | Stack
01. APP II Intense                           | rock_menu2                | 2024
02. Inimitable v6.52                         | Inimitable                | 1024
03. ArabicGuy Ultra v2.6                     | ArabicGuyUltra            | 6304
04. insanity's Ultra                         | insanityUltra             | 6304
05. Ultimate Teleport v3.8.6                 | Tgsaudoiz                 | 1820
06. Brodator                                 | Brodator                  | 1024
07. Project CL                               | ProjectCL                 | 1024
08. Console Trainer V                        | console_trainer_v         | 1024
09. K&K Dark Horse                           | krank1                    | 1024
10. Eternal Darkness v4.6.5                  | BlackSaint                | 3584
11. GTA FUCKER                               | GTAFUCKER                 | 1024
12. AndyMoDz                                 | AndyMoDz                  | 1024
13. MK3 Menu v1.5.8                          | MK3Menu                   | 2024
14. MoonShine v3                             | MoonShine                 | 6304
15. Expulsion v1                             | DevScript                 | 1024
16. Revolution                               | Revolution                | 1024
17. Scorpion                                 | ModMenu                   | 2024
18. MainMenu v2 Spanish                      | MainMenu                  | 1024
19. Alien Script V2                          | ScriptA                   | 1024
20. Destroy v3 by FranCangel                 | Destroy                   | 1024
21. X Script v2                              | X_Script                  | 2024
22. Innocence v0.6 (BETA)                    | JRInnocenceMenu           | 3076
23. James Reborn Recovery v5.2.3             | JRrecovery                | 2552
24. 2much4u Recovery                         | Recoveryv3                | 512
25. Danni X MoDz Recovery                    | Recoveryv2                | 1024
26. Stat Editor                              | CR_Stat                   | 128
27. Skip Online Tutorial                     | csm_menu                  | 1024
28. insanity's Recovery                      | Xx_INS4NO_xX              | 1024
29. Garage Editor                            | GarageEditor              | 1024
30. Tattoo Editor Script by Lush Modz        | TattooEditor              | 512
31. Unrestrained v8.0                        | Unrestrained              | 2024
32. Black Protect Saint v5.0                 | BProtectSaint             | 4592
33. Serendipity                              | Serendipity               | 1024
34. LimoProtex v2                            | lmxprotec                 | 1024
35. Helper Menu                              | HelperMenu                | 1024
36. RFOoDxMoDz Protect                       | RFOoDxMoDz                | 1024
37. Private Protections                      | PrivateProtections        | 1024
38. TR4F1K4NT3 Protection                    | TR4F1K4NT3                | 1024
39. Random Outfits                           | RandomOutfit              | 1024
40. Godly Outfits                            | Godly                     | 2024
41. Death Outfits                            | DeathOutfits              | 1024
42. Frezze V3ND3TT4 1                        | abigail3                  | 1024
43. Frezze Danii X MoDz                      | FreezeMenuv1              | 1024
44. Frezze Fz Spam                           | frz2                      | 1024
45. Frezze V-_-Menu 1.3                      | Vmenu                     | 1024
46. Ped Checker v6                           | PedCheckerV6              | 128
47. Frezze AutoKickPedFreezeV1               | AutoKickPedFreezeV1       | 1024
48. Frezze TAXI J6                           | FREEZE-TAXI-J6            | 1024
49. Test Freeze By J6                        | TestFreezeByJ6            | 1024
50. FreezeTP                                 | FreezeTP                  | 1024
51. Erootiik Vehicle Spawner                 | erootiikspawn             | 512
52. Spawn Car Design                         | Spawncar                  | 1024
53. Truck Simulator Menu                     | App7e                     | 1820
54. Funny Car Loader                         | FCLoader                  | 1024
55. Fuel Mod                                 | FuelMod                   | 512
56. Heli Bomb                                | HeliBombv1                | 128
57. Rocket Car                               | rocketcar2                | 128
58. JR Drift Mod                             | JRDRIFTMOD                | 128
59. North Yankton Menu                       | yankton_menu              | 128
60. Bridge Beach Airport                     | BeachAirport              | 128
61. Bridge Lake                              | LakeBridge                | 128
62. Epic Roofs                               | EpicRoofs                 | 128
63. Tgsaudoiz Little Farm                    | Farm                      | 128
64. Tgsaudoiz Boxing Ring                    | Box                       | 128
65. Tgsaudoiz House                          | TgsaudoizHouse            | 128
66. Tgsaudoiz LSC Jungle                     | LSCTG                     | 128
67. Tgsaudoiz Pool Party                     | PPtg                      | 128
68. Tgsaudoiz Oasis Arena                    | OasisTali                 | 128
69. Tgsaudoiz Jetty                          | JettyTg                   | 128
70. FYV7 Perspective Menu                    | Perspectivemenu           | 128
71. Particle Menu                            | ParticleMenuV03           | 1024
72. HUD Editor                               | HudEditorv1               | 1024
73. Custom Camera                            | Custom_Camera             | 1024
74. Drone Mode (Fixed)                       | DroneModeFixed            | 512
75. Laser Eyes                               | ProjectCL_LaserEyes       | 128
76. Ironman Mode                             | ProjectCL_IronmanMode     | 128
77. Hulk Mode                                | ProjectCL_HulkMode        | 128
78. Shape Shifter                            | JRAimatPed                | 128
79. Rapid fire                               | ProjectCL_Rapidfire       | 128
80. LSPD Mod                                 | LSPDM0D                   | 512
81. Zombie Mod                               | ZombieMod                 | 512
82. Ragdoll Mod                              | JRRagdollMod              | 128
83. Skeleton ESP                             | JRSKELETONESP             | 128
84. Killer NPC                               | JRKILLERNPC               | 128
85. Try Hard Mode 1 (Suicide)                | JRTRYHARDMODE             | 128
86. Show Nearby Entitys                      | ProjectCL_CNearby         | 512
87. Show XYZH Coords                         | xyzh_coords1              | 128
